scrape_date,source,item_name_website,group_en,group_th,option,weight_kg,selling_price,price_per_kg,link
2026-04-20,Sawasdee Seafood,กุ้งแม่น้ำใหญ่ สด ๆ แบบแช่เย็น (1 กิโลกรัม),Prawn,กุ้งแม่น้ำ,กุ้งขนาด-4-ตัว-กิโลกรัม,,1050.0,,https://www.sawasdeeseafood.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b9%81%e0%b8%a1%e0%b9%88%e0%b8%99%e0%b9%89%e0%b8%b3%e0%b9%83%e0%b8%ab%e0%b8%8d%e0%b9%88-1%e0%b8%81%e0%b8%81/
2026-04-20,Sawasdee Seafood,กุ้งแม่น้ำใหญ่ สด ๆ แบบแช่เย็น (1 กิโลกรัม),Prawn,กุ้งแม่น้ำ,กุ้งขนาด-5-ตัว-กิโลกรัม,,950.0,,https://www.sawasdeeseafood.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b9%81%e0%b8%a1%e0%b9%88%e0%b8%99%e0%b9%89%e0%b8%b3%e0%b9%83%e0%b8%ab%e0%b8%8d%e0%b9%88-1%e0%b8%81%e0%b8%81/
2026-04-20,Sawasdee Seafood,กุ้งแม่น้ำใหญ่ สด ๆ แบบแช่เย็น (1 กิโลกรัม),Prawn,กุ้งแม่น้ำ,กุ้งขนาด-6-8-ตัว-กิโลกรัม,,750.0,,https://www.sawasdeeseafood.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b9%81%e0%b8%a1%e0%b9%88%e0%b8%99%e0%b9%89%e0%b8%b3%e0%b9%83%e0%b8%ab%e0%b8%8d%e0%b9%88-1%e0%b8%81%e0%b8%81/
2026-04-20,Sawasdee Seafood,กุ้งแม่น้ำใหญ่ สด ๆ แบบแช่เย็น (1 กิโลกรัม),Prawn,กุ้งแม่น้ำ,กุ้งขนาด-8-10-ตัว-กิโลกรัม,,700.0,,https://www.sawasdeeseafood.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b9%81%e0%b8%a1%e0%b9%88%e0%b8%99%e0%b9%89%e0%b8%b3%e0%b9%83%e0%b8%ab%e0%b8%8d%e0%b9%88-1%e0%b8%81%e0%b8%81/
2026-04-20,Sawasdee Seafood,ท้องแซลมอน แบบแช่แข็ง แพ็คละ 500 กรัม,Salmon,แซลมอน,-,0.5,250.0,500,https://www.sawasdeeseafood.com/product/salmon-belly/
2026-04-20,Sawasdee Seafood,ปลากระพงผ่าผีเสื้อแบบติดก้าง แบบแช่แข็ง ขนาด 600-700 กรัมต่อตัว,Sea Bass,ปลากะพง,-,0.6,220.0,367,https://www.sawasdeeseafood.com/product/frozen-sea-bass/
2026-04-20,Sawasdee Seafood,ปลาอินทรีย์แดดเดียว ขนาด 300 กรัม ต่อแพ็ค,Spanish Mackerel,ปลาอินทรี,-,0.3,250.0,833,https://www.sawasdeeseafood.com/product/sun-dried-king-mackerel/
2026-04-20,Sawasdee Seafood,หมึกหอมเซลล์ แบบแช่แข็ง เกรดซาซิมิ ขนาด 3-4 ตัวโล จำนวน 1 กิโลกรัม,Squid,หมึก,-,1.0,470.0,470,https://www.sawasdeeseafood.com/product/cuttlefish/
2026-04-20,Sawasdee Seafood,หมึกไข่แดดเดียว ขนาด 500 กรัมต่อแพ็ค,Squid,หมึก,-,0.5,250.0,500,https://www.sawasdeeseafood.com/product/sun-dried-squid/
2026-04-20,Sawasdee Seafood,หอยนางรมเกาหลีฝาเดียว แบบแช่แข็ง เกรดซาซิมิ ขนาด 10-12 CM  (ไซส์ L) แพ็คละ 10ตัว,Oyster,หอยนางรม,-,,350.0,,https://www.sawasdeeseafood.com/product/korean-oyster/
2026-04-20,Sawasdee Seafood,หอยหวานแช่แข็ง ขนาด 30-50 ตัว/กิโลกรัม,Spotted Babylon,หอยหวาน,1-กิโลกรัม,,190.0,,https://www.sawasdeeseafood.com/product/spotted-babylon/
2026-04-20,Sawasdee Seafood,หอยหวานแช่แข็ง ขนาด 30-50 ตัว/กิโลกรัม,Spotted Babylon,หอยหวาน,2-กิโลกรัม,,380.0,,https://www.sawasdeeseafood.com/product/spotted-babylon/
2026-04-20,Sawasdee Seafood,หอยเชลล์ฝาเดียว แบบแช่แข็ง แพ็คละ 20 ฝา,Scallops,หอยเชลล์,-,,220.0,,https://www.sawasdeeseafood.com/product/scallops/
2026-04-20,HENG HENG Seafood,ปูไข่,Crab Meat,เนื้อปูแกะ,-,,,,https://www.henghengseafood.com/product/179674-175895/ปูไข่
2026-04-20,HENG HENG Seafood,ปูเนื้อ,Crab Meat,เนื้อปูแกะ,-,,,,https://www.henghengseafood.com/product/179673-175894/ปูเนื้อ
2026-04-20,HENG HENG Seafood,กรรเชียงพาย,Crab Meat,เนื้อปูแกะ,-,,,,https://www.henghengseafood.com/product/179672/กรรเชียงพาย
2026-04-20,HENG HENG Seafood,ปูก้อนเกรด A,Crab Meat,เนื้อปูแกะ,-,,,,https://www.henghengseafood.com/product/179671/ปูก้อนเกรด-a
2026-04-20,HENG HENG Seafood,ปูก้อนพรีเมียม,Crab Meat,เนื้อปูแกะ,-,,,,https://www.henghengseafood.com/product/179670/ปูก้อนพรีเมียม
2026-04-20,HENG HENG Seafood,ปูไข่ดอง น้ำปลากวน,Pickled Crab,ปูดอง,-,,,,https://www.henghengseafood.com/product/179669-175887/ปูไข่ดอง-น้ำปลากวน
2026-04-20,HENG HENG Seafood,ปูม้านึ่ง,Blue Swimmer Crab,ปูม้า,-,,,,https://www.henghengseafood.com/product/179668-175886/ปูม้านึ่ง
2026-04-20,HENG HENG Seafood,ปูม้า,Blue Swimmer Crab,ปูม้า,-,,,,https://www.henghengseafood.com/product/179667-175885/ปูม้า
2026-04-20,HENG HENG Seafood,หิมะส่วนหาง,Snow Fish,ปลาหิมะ,-,,,,https://www.henghengseafood.com/product/179666-175884/หิมะส่วนหาง
2026-04-20,HENG HENG Seafood,หิมะ Fillet,Snow Fish,ปลาหิมะ,-,,,,https://www.henghengseafood.com/product/179665-175883/หิมะ-fillet
2026-04-20,HENG HENG Seafood,หิมะเบบี้,Snow Fish,ปลาหิมะ,-,,,,https://www.henghengseafood.com/product/179664-175882/หิมะเบบี้
2026-04-20,HENG HENG Seafood,หิมะแว่น,Snow Fish,ปลาหิมะ,-,,,,https://www.henghengseafood.com/product/179663-175881/หิมะแว่น
2026-04-20,HENG HENG Seafood,แซลมอนพรีเมียม,Salmon,แซลมอน,-,,,,https://www.henghengseafood.com/product/179661/แซลมอนพรีเมียม
2026-04-20,HENG HENG Seafood,แซลมอนซาซิมิ,Salmon,แซลมอน,-,,,,https://www.henghengseafood.com/product/179659/แซลมอนซาซิมิ
2026-04-20,HENG HENG Seafood,แซลมอนเบบี้,Salmon,แซลมอน,-,,,,https://www.henghengseafood.com/product/179658-175871/แซลมอนเบบี้
2026-04-20,HENG HENG Seafood,แซลมอน Pack 5,Salmon,แซลมอน,-,,,,https://www.henghengseafood.com/product/179657-175870/แซลมอน-pack-5
2026-04-20,HENG HENG Seafood,แซลมอน Fillet 2ขีด,Salmon,แซลมอน,-,,,,https://www.henghengseafood.com/product/179656/แซลมอน-fillet-2ขีด
2026-04-20,HENG HENG Seafood,ปลาสำลี,Black-banded Trevally,ปลาสำลี,-,,,,https://www.henghengseafood.com/product/179655-175867/ปลาสำลี
2026-04-20,HENG HENG Seafood,ปลากระบอกวัง,Mullet,ปลากระบอก,-,,,,https://www.henghengseafood.com/product/179654-175866/ปลากระบอกวัง
2026-04-20,HENG HENG Seafood,ปลาทราย,Sand Whiting,ปลาทราย,-,,,,https://www.henghengseafood.com/product/179653-175865/ปลาทราย
2026-04-20,HENG HENG Seafood,ปลาอินทรีย์สด หั่นแว่น,Spanish Mackerel,ปลาอินทรี,-,,,,https://www.henghengseafood.com/product/179652/ปลาอินทรีย์สด-หั่นแว่น
2026-04-20,HENG HENG Seafood,ปลาอินทรีย์แดดเดียว,Spanish Mackerel,ปลาอินทรี,-,,,,https://www.henghengseafood.com/product/179651-175862/ปลาอินทรีย์แดดเดียว
2026-04-20,HENG HENG Seafood,ปลาจาระเม็ด,Pomfret,ปลาจาระเม็ด,-,,,,https://www.henghengseafood.com/product/179643/ปลาจาระเม็ด
2026-04-20,HENG HENG Seafood,ปลาใบขนุน (อังนั้ม),White Fish,ปลาใบขนุน,-,,,,https://www.henghengseafood.com/product/179641/ปลาใบขนุน-อังนั้ม
2026-04-20,HENG HENG Seafood,กะพงแดงแล่ชิ้น,Sea Bass,ปลากะพง,-,,,,https://www.henghengseafood.com/product/179639-175839/กะพงแดงแล่ชิ้น
2026-04-20,HENG HENG Seafood,เก๋าแดงแล่ชิ้น,Grouper,ปลาเก๋า,-,,,,https://www.henghengseafood.com/product/179634-175834/เก๋าแดงแล่ชิ้น
2026-04-20,HENG HENG Seafood,เก๋าแล่ชิ้น,Grouper,ปลาเก๋า,-,,,,https://www.henghengseafood.com/product/179629-175829/เก๋าแล่ชิ้น
2026-04-20,HENG HENG Seafood,เก๋า Fillet,Grouper,ปลาเก๋า,-,,,,https://www.henghengseafood.com/product/179628-175828/เก๋า-fillet
2026-04-20,HENG HENG Seafood,เก๋าแล่สเต็ก 2 ขีด,Grouper,ปลาเก๋า,-,,,,https://www.henghengseafood.com/product/179627-175827/เก๋าแล่สเต็ก-2-ขีด
2026-04-20,HENG HENG Seafood,กะพงแล่ชิ้น,Sea Bass,ปลากะพง,-,,,,https://www.henghengseafood.com/product/179626-175826/กะพงแล่ชิ้น
2026-04-20,HENG HENG Seafood,กะพง Fillet,Sea Bass,ปลากะพง,-,,,,https://www.henghengseafood.com/product/179625/กะพง-fillet
2026-04-20,HENG HENG Seafood,กะพงแล่สเต็ก 2 ขีด,Sea Bass,ปลากะพง,-,,,,https://www.henghengseafood.com/product/179624-175823/กะพงแล่สเต็ก-2-ขีด
2026-04-20,HENG HENG Seafood,เก๋ายักษ์แล่,Grouper,ปลาเก๋า,-,,,,https://www.henghengseafood.com/product/179623/เก๋ายักษ์แล่
2026-04-20,HENG HENG Seafood,กะพงยักษ์แล่,Sea Bass,ปลากะพง,-,,,,https://www.henghengseafood.com/product/179622/กะพงยักษ์แล่
2026-04-20,HENG HENG Seafood,กุ้งลายเสือแกะ,Tiger Prawn,กุ้งลายเสือ,-,,,,https://www.henghengseafood.com/product/179617-175814/กุ้งลายเสือแกะ
2026-04-20,HENG HENG Seafood,กุ้งขาวแกะ L,Vannamei Shrimp,กุ้งขาว,-,,,,https://www.henghengseafood.com/product/179616-175813/กุ้งขาวแกะ-l
2026-04-20,HENG HENG Seafood,กุ้งขาวแกะ XL,Vannamei Shrimp,กุ้งขาว,-,,,,https://www.henghengseafood.com/product/179615-175812/กุ้งขาวแกะ-xl
2026-04-20,HENG HENG Seafood,กุ้งขาวแกะผ่าผีเสื้อ,Vannamei Shrimp,กุ้งขาว,-,,,,https://www.henghengseafood.com/product/179614-175811/กุ้งขาวแกะผ่าผีเสื้อ
2026-04-20,HENG HENG Seafood,กุ้งแชบ๊วยจัมโบ้แกะ,Banana Prawn,กุ้งแชบ๊วย,-,,,,https://www.henghengseafood.com/product/179613/กุ้งแชบ๊วยจัมโบ้แกะ
2026-04-20,HENG HENG Seafood,กุ้งลายเสือ,Tiger Prawn,กุ้งลายเสือ,-,,,,https://www.henghengseafood.com/product/179612/กุ้งลายเสือ
2026-04-20,HENG HENG Seafood,กุ้งขาว,Vannamei Shrimp,กุ้งขาว,-,,,,https://www.henghengseafood.com/product/179610/กุ้งขาว
2026-04-20,HENG HENG Seafood,กุ้งแชบ๊วย,Banana Prawn,กุ้งแชบ๊วย,-,,,,https://www.henghengseafood.com/product/179609/กุ้งแชบ๊วย
2026-04-20,HENG HENG Seafood,กุ้งแม่น้ำ To Go,Prawn,กุ้งแม่น้ำ,-,,,,https://www.henghengseafood.com/product/179608/กุ้งแม่น้ำ-to-go
2026-04-20,HENG HENG Seafood,กุ้งแม่น้ำสด,Prawn,กุ้งแม่น้ำ,-,,,,https://www.henghengseafood.com/product/179607/กุ้งแม่น้ำสด
2026-04-20,PPNSeafood,เนื้อหอยนางรม(200 กรัม),Oyster,หอยนางรม,-,,45.0,,https://www.ppnseafoodwishing.com/product/%e0%b9%80%e0%b8%99%e0%b8%b7%e0%b9%89%e0%b8%ad%e0%b8%ab%e0%b8%ad%e0%b8%a2%e0%b8%99%e0%b8%b2%e0%b8%87%e0%b8%a3%e0%b8%a1/
2026-04-20,PPNSeafood,กุ้งขาวแกะ(280 กรัม),Vannamei Shrimp,กุ้งขาว,26-35 ตัว (280กรัม),,250.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b8%82%e0%b8%b2%e0%b8%a7%e0%b9%81%e0%b8%81%e0%b8%b0/
2026-04-20,PPNSeafood,กุ้งขาวแกะ(280 กรัม),Vannamei Shrimp,กุ้งขาว,35-45 ตัว (280กรัม),,190.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b8%82%e0%b8%b2%e0%b8%a7%e0%b9%81%e0%b8%81%e0%b8%b0/
2026-04-20,PPNSeafood,เนื้อปลากะพงหั่นแช่แข็ง(800 กรัม),Sea Bass,ปลากะพง,-,,360.0,,https://www.ppnseafoodwishing.com/product/%e0%b9%80%e0%b8%99%e0%b8%b7%e0%b9%89%e0%b8%ad%e0%b8%9b%e0%b8%a5%e0%b8%b2%e0%b8%81%e0%b8%b0%e0%b8%9e%e0%b8%87%e0%b8%ab%e0%b8%b1%e0%b9%88%e0%b8%99-800-%e0%b8%81%e0%b8%a3%e0%b8%b1%e0%b8%a1/
2026-04-20,PPNSeafood,ปลาหิมะพอร์ชั่น(200 กรัม),Snow Fish,ปลาหิมะ,-,,500.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%9b%e0%b8%a5%e0%b8%b2%e0%b8%ab%e0%b8%b4%e0%b8%a1%e0%b8%b0%e0%b8%9e%e0%b8%ad%e0%b8%a3%e0%b9%8c%e0%b8%8a%e0%b8%b1%e0%b9%88%e0%b8%99200%e0%b8%81%e0%b8%a3%e0%b8%b1%e0%b8%a1%e0%b8%8a%e0%b8%b4/
2026-04-20,PPNSeafood,กุ้งก้ามกราม,Prawn,กุ้งก้ามกราม,8-12 ตัว (กก),,500.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b8%81%e0%b9%89%e0%b8%b2%e0%b8%a1%e0%b8%81%e0%b8%a3%e0%b8%b2%e0%b8%a1/
2026-04-20,PPNSeafood,กุ้งก้ามกราม,Prawn,กุ้งก้ามกราม,16-20 ตัว (กก),,400.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b8%81%e0%b9%89%e0%b8%b2%e0%b8%a1%e0%b8%81%e0%b8%a3%e0%b8%b2%e0%b8%a1/
2026-04-20,PPNSeafood,กุ้งขาว,Vannamei Shrimp,กุ้งขาว,21-30 ตัว (กก),,480.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b8%82%e0%b8%b2%e0%b8%a7/
2026-04-20,PPNSeafood,กุ้งขาว,Vannamei Shrimp,กุ้งขาว,41-50 ตัว (กก),,380.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b8%82%e0%b8%b2%e0%b8%a7/
2026-04-20,PPNSeafood,กุ้งขาว,Vannamei Shrimp,กุ้งขาว,61-80 ตัว (กก),,350.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b8%82%e0%b8%b2%e0%b8%a7/
2026-04-20,PPNSeafood,กุ้งลายเสือ,Tiger Prawn,กุ้งลายเสือ,10-20 ตัว (กก),,900.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b8%a5%e0%b8%b2%e0%b8%a2%e0%b9%80%e0%b8%aa%e0%b8%b7%e0%b8%ad/
2026-04-20,PPNSeafood,กุ้งลายเสือ,Tiger Prawn,กุ้งลายเสือ,21-30 ตัว (กก),,600.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b8%a5%e0%b8%b2%e0%b8%a2%e0%b9%80%e0%b8%aa%e0%b8%b7%e0%b8%ad/
2026-04-20,PPNSeafood,กุ้งลายเสือ,Tiger Prawn,กุ้งลายเสือ,31-40 ตัว (กก),,480.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b8%a5%e0%b8%b2%e0%b8%a2%e0%b9%80%e0%b8%aa%e0%b8%b7%e0%b8%ad/
2026-04-20,PPNSeafood,เนื้อปลากะพงหั่นสด(500 กรัม),Sea Bass,ปลากะพง,-,,300.0,,https://www.ppnseafoodwishing.com/product/%e0%b9%80%e0%b8%99%e0%b8%b7%e0%b9%89%e0%b8%ad%e0%b8%9b%e0%b8%a5%e0%b8%b2%e0%b8%81%e0%b8%b0%e0%b8%9e%e0%b8%87%e0%b8%ab%e0%b8%b1%e0%b9%88%e0%b8%99%e0%b8%aa%e0%b8%94/
2026-04-20,PPNSeafood,กุ้งแชบ๊วย(500 กรัม),Banana Prawn,กุ้งแชบ๊วย,-,,480.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b9%81%e0%b8%8a%e0%b8%9a%e0%b9%8a%e0%b8%a7%e0%b8%a2/
2026-04-20,PPNSeafood,กุ้งก้ามกรามแกะ(300 กรัม),Prawn,กุ้งก้ามกราม,-,,260.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b8%81%e0%b9%89%e0%b8%b2%e0%b8%a1%e0%b8%81%e0%b8%a3%e0%b8%b2%e0%b8%a1%e0%b9%81%e0%b8%81%e0%b8%b0/
2026-04-20,PPNSeafood,กุ้งลายเสือแกะ(280 กรัม),Tiger Prawn,กุ้งลายเสือ,-,,240.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b8%a5%e0%b8%b2%e0%b8%a2%e0%b9%80%e0%b8%aa%e0%b8%b7%e0%b8%ad%e0%b9%81%e0%b8%81%e0%b8%b0/
2026-04-20,PPNSeafood,กุ้งแชบ๊วยแกะ(280 กรัม),Banana Prawn,กุ้งแชบ๊วย,-,,400.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b9%81%e0%b8%8a%e0%b8%9a%e0%b9%8a%e0%b8%a7%e0%b8%a2%e0%b9%81%e0%b8%81%e0%b8%b0/
2026-04-20,PPNSeafood,กุ้งขาวตาข่ายไซส์ L(500 กรัม),Vannamei Shrimp,กุ้งขาว,-,,350.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%81%e0%b8%b8%e0%b9%89%e0%b8%87%e0%b8%82%e0%b8%b2%e0%b8%a7%e0%b8%95%e0%b8%b2%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a2%e0%b9%84%e0%b8%8b%e0%b8%aa%e0%b9%8c-l/
2026-04-20,PPNSeafood,ปลาเก๋า,Grouper,ปลาเก๋า,5 ขีด/ตัว,,270.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%9b%e0%b8%a5%e0%b8%b2%e0%b9%80%e0%b8%81%e0%b9%8b%e0%b8%b2/
2026-04-20,PPNSeafood,ปลาเก๋า,Grouper,ปลาเก๋า,7 ขีด-1 กก/ตัว,,360.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%9b%e0%b8%a5%e0%b8%b2%e0%b9%80%e0%b8%81%e0%b9%8b%e0%b8%b2/
2026-04-20,PPNSeafood,ปลากะพง,Sea Bass,ปลากะพง,5 ขีด/ตัว,,180.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%9b%e0%b8%a5%e0%b8%b2%e0%b8%81%e0%b8%b0%e0%b8%9e%e0%b8%87/
2026-04-20,PPNSeafood,ปลากะพง,Sea Bass,ปลากะพง,1 กก/ตัว,,220.0,,https://www.ppnseafoodwishing.com/product/%e0%b8%9b%e0%b8%a5%e0%b8%b2%e0%b8%81%e0%b8%b0%e0%b8%9e%e0%b8%87/
